fps:,50
frame,x,y,area [px]
82,954,410,814
82,841,394,761
82,528,435,549
82,951,237,775
82,497,365,2336
163,515,599,680
163,783,306,403
230,943,454,845
230,749,262,1495
230,716,434,1001
254,352,388,1281
254,812,513,1544
344,909,207,2187
344,833,317,2324
344,808,357,1371
344,358,259,531
358,375,556,978
381,521,587,1323
381,945,399,1146
381,454,212,1578
381,317,336,700
381,475,596,728
399,460,507,1450
399,954,375,1044
419,730,477,835
419,443,283,471
440,333,421,1210
440,551,270,961
463,422,541,851
463,514,218,1382
463,804,495,468
463,478,446,2507
463,455,263,695
561,826,576,1161
561,700,529,1842
580,724,479,765
580,903,548,1531
619,908,459,1697
619,790,357,586
619,569,368,915
744,379,447,1597
744,920,521,1138
744,844,441,912
744,693,593,963
759,576,434,1078
759,817,352,927
759,417,451,940
789,994,459,1403
789,792,233,1407
789,598,293,1539
789,895,372,2089
869,564,434,924
906,837,379,668
921,785,501,885
921,411,570,2200
921,985,510,1481
921,827,294,908
989,752,508,939
989,922,367,1750
989,764,496,885
